第 4 周|Apr 23|Tools for Conveying Your Data Story|Visual Contrast Directs Where Your Audience Looks|8 min
第 4 周|Apr 23|Tools for Conveying Your Data Story|Week 4 Additional Resources: Designing and Delivering an Effective Business Presentation|45 min
第 4 周|Apr 23|Putting Compelling Data Visualizations into Persuasive Business Presentations|Formatting Slides to Communicate Data Stories|8 min
第 4 周|Apr 23|Putting Compelling Data Visualizations into Persuasive Business Presentations|Formatting Presentations to Communicate Data Stories|5 min
第 4 周|Apr 23|Putting Compelling Data Visualizations into Persuasive Business Presentations|Delivering Your Data Story|5 min
第 4 周|Apr 23|Quiz and Feedback|Week 4 Quiz|16 questions
第 2 周|Apr 9|Introduction|Use Data Visualization to Drive Your Analysis|1 min
第 3 周|Apr 16|Blending and Aggregation-level Calculations|Adjusting Data-related Salaries for Cost of Living|10 min
第 3 周|Apr 16|Table Calculations and Parameters|Calculating Which States Have the Top Adjusted Salaries within Job Subcategories|10 min
第 3 周|Apr 16|Table Calculations and Parameters|Using Parameters to Define Top States|7 min
第 3 周|Apr 16|Dashboards and Story Points|Calculating Which Companies Have the Top Adjusted Salaries within Job Subcategories|8 min
第 3 周|Apr 16|Dashboards and Story Points|Designing a Dashboard to Determine Where You should Apply for Data-related Job|12 min
第 3 周|Apr 16|Dashboards and Story Points|Visual Story Points in Tableau|10 min
第 3 周|Apr 16|Dashboards and Story Points|Week 3 Additional Resources: Examples of Tableau Dashboards and Stories|10 min
第 3 周|Apr 16|Exercises, Quiz and Feedback |Week 3 Practice Exercises|3h
第 3 周|Apr 16|Exercises, Quiz and Feedback |Week 3 Quiz|12 questions
第 3 周|Apr 16|Exercises, Quiz and Feedback |Feedback Survey|10 min
第 1 周|Apr 2|Structure Pyramid Analysis Plans|Using SPAPs to Structure Your Thinking, Part 1|7 min
第 1 周|Apr 2|Structure Pyramid Analysis Plans|Using SPAPs to Structure Your Thinking, Part 2|6 min
第 1 周|Apr 2|Structure Pyramid Analysis Plans|Week 1 Quiz|15 questions
第 1 周|Apr 2|Structure Pyramid Analysis Plans|Feedback Survey|10 min
第 4 周|Apr 23|Quiz and Feedback|Feedback Survey|10 min
第 2 周|Apr 9|Introduction|Why Tableau?|8 min
第 2 周|Apr 9|Introduction|Written Instructions to Install Tableau Desktop|2 min
第 2 周|Apr 9|Introduction|Tableau Desktop Key|1 min
第 2 周|Apr 9|Using Tableau to Determine How Much You Can Make as a Data Analyst|Meet Your Salary Data|3 min
第 2 周|Apr 9|Using Tableau to Determine How Much You Can Make as a Data Analyst|Meet Your Dognition Data|11 min
第 2 周|Apr 9|Using Tableau to Determine How Much You Can Make as a Data Analyst|Our Analysis Plan|39 sec
第 2 周|Apr 9|Using Tableau to Determine How Much You Can Make as a Data Analyst|Salary Data Set, Description, and Analysis Plan|10 min
第 2 周|Apr 9|Using Tableau to Determine How Much You Can Make as a Data Analyst|Dognition Data Set, Description, and Analysis Plan|10 min
第 2 周|Apr 9|Let's Get Started!|Salaries of Data-Related Jobs: Your First Graph|11 min
第 2 周|Apr 9|Let's Get Started!|Formatting and Exporting Your First Graph|6 min
第 2 周|Apr 9|Let's Get Started!|Digging Deeper Using the Rows and Columns Shelves|13 min
第 2 周|Apr 9|Let's Get Started!|The Effects of Outliers Video|10 min
第 2 周|Apr 9|Working with the Marks Card|Understanding the Marks Card|11 min
第 2 周|Apr 9|Outliers, Filtering and Groups|Removing Outliers Using Scatterplot and Filtering and Groups|13 min
第 2 周|Apr 9|Outliers, Filtering and Groups|Analyzing Data-Related Salaries in Different States Using Filtering and Groups|8 min
第 2 周|Apr 9|Line Graphs and Box Plots|When to Use Line Graphs|2 min
第 2 周|Apr 9|Line Graphs and Box Plots|Dates as Hierarchical Dimensions or Measures|8 min
第 2 周|Apr 9|Line Graphs and Box Plots|Analyzing Data-Related Salaries Over Time Using Date Hierarchies|8 min
第 2 周|Apr 9|Line Graphs and Box Plots|Analyzing Data-Related Salaries Over Time Using Trend Lines|9 min
第 2 周|Apr 9|Line Graphs and Box Plots|Analysing Data-Related Salaries Over Time Using Box Plots|10 min
第 2 周|Apr 9|Line Graphs and Box Plots|Introduction to Linear Regression|10 min
第 2 周|Apr 9|Exercises, Quiz and Feedback|Week 2 Practice Exercises|3h
第 2 周|Apr 9|Exercises, Quiz and Feedback|Week 2 Quiz|15 questions
第 2 周|Apr 9|Exercises, Quiz and Feedback|Feedback Survey|10 min
